,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,49.45,58.7,62.08,61.36,151.64,155.36,,,,,
low,44.85,40.96,48.48,38.01,56.27,94.39,,,,,
change,0.050800000000000005,0.023,0.1589,0.0432,1.3641,-0.0087,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,439.0,466.0,470.0,574.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,495.0,553.0,610.0,565.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-4.0,-4.0,-4.0,-4.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,491.0,549.0,606.0,562.0,Balance Sheet
Other Receivables,,,,,,,1.0,0.0,0.0,3.0,Balance Sheet
"Total Receivables, Net",,,,,,,492.0,549.0,606.0,565.0,Balance Sheet
Invent. - Finished Goods,,,,,,,123.0,157.0,147.0,134.0,Balance Sheet
Invent. - Work In Progress,,,,,,,40.0,46.0,58.0,48.0,Balance Sheet
Invent. - Raw Materials,,,,,,,54.0,43.0,35.0,49.0,Balance Sheet
LIFO Reserve,,,,,,,-117.0,-130.0,-118.0,-94.0,Balance Sheet
Total Inventory,,,,,,,101.0,116.0,121.0,136.0,Balance Sheet
Prepaid Expenses,,,,,,,3.0,3.0,10.0,20.0,Balance Sheet
Total Current Assets,,,,,,,1035.0,1135.0,1207.0,1295.0,Balance Sheet
Buildings,,,,,,,218.0,220.0,220.0,219.0,Balance Sheet
Land/Improvements,,,,,,,73.0,73.0,85.0,85.0,Balance Sheet
Machinery/Equipment,,,,,,,363.0,368.0,377.0,395.0,Balance Sheet
Construction in Progress,,,,,,,92.0,120.0,142.0,158.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,14.0,14.0,14.0,14.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,760.0,795.0,838.0,870.0,Balance Sheet
Accumulated Depreciation,,,,,,,-265.0,-271.0,-277.0,-283.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,495.0,524.0,561.0,588.0,Balance Sheet
Other Long Term Assets,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Assets,,,,,,,1531.0,1660.0,1769.0,1883.0,Balance Sheet
Accounts Payable,,,,,,,75.0,73.0,71.0,69.0,Balance Sheet
Accrued Expenses,,,,,,,16.0,17.0,22.0,27.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,,22.0,15.0,11.0,14.0,Balance Sheet
Income Taxes Payable,,,,,,,,48.0,2.0,0.0,Balance Sheet
Other Payables,,,,,,,41.0,30.0,39.0,42.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,63.0,93.0,52.0,56.0,Balance Sheet
Total Current Liabilities,,,,,,,154.0,183.0,145.0,152.0,Balance Sheet
Total Long Term Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Deferred Income Tax,,,,,,,37.0,33.0,40.0,47.0,Balance Sheet
Total Liabilities,,,,,,,191.0,216.0,185.0,198.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,73.0,75.0,78.0,81.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,1421.0,1582.0,1792.0,1984.0,Balance Sheet
Treasury Stock - Common,,,,,,,-155.0,-213.0,-287.0,-380.0,Balance Sheet
"Other Equity, Total",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,,,,1339.0,1444.0,1584.0,1685.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,1531.0,1660.0,1769.0,1883.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,20.0,20.0,19.0,18.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,7.0,7.0,8.0,9.0,Balance Sheet
