,WIRE
% Below High,0.0788
% Held by Institutions,1.0065
52-Wk Range,['94.39 - 155.36']
Annual Dividend $,0.08
Annual Dividend %,0.0005
Ask,143.92
Ask Size,100.0
B/A Ratio,13.0
B/A Size,1300x100
Beta,1.3
Bid,142.67
Bid Size,1300.0
Closing Price,143.11
Day Change $,-5.7
Day Change %,-0.0383
Day High,148.0
Day Low,141.57
Dividend Pay Date,2023-01-20 00:00:00
"EPS (TTM, GAAP)",35.54
Ex-dividend,2023-01-05 00:00:00
Ex-dividend Date,01/05/23
Historical Volatility,0.537
Last (size),4.0
Last (time),3:59p ET 11/28/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.19
Prev Close,148.81
Shares Outstanding,18.3M
Short Interest,0.146
Today's Open,147.21
Volume,241494.0
Volume 10-day Avg,154791.0
Volume Past Day,(Heavy Day)
