,WMS
% Above Low,0.1547
% Held by Institutions,0.8423
52-Wk Range,['80.76 - 153.36']
Annual Dividend $,0.48
Annual Dividend %,0.005
Ask,118.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,80.0
Bid Size,200.0
Closing Price,93.25
Day Change $,-3.17
Day Change %,-0.0329
Day High,95.47
Day Low,92.64
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.43
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.559
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,7.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.77
Prev Close,96.42
Short Interest,0.0512
Today's Open,94.82
Volume,923308.0
Volume 10-day Avg,991124.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-2.779816513761468
Growth 1yr High Est,-3.1606557377049183
Growth 1yr Consensus Est,-2.970236125733193
Growth 2yr Low Est,-1.4027948548188782
Growth 2yr High Est,-1.602330903753825
Growth 2yr Consensus Est,-1.5025628792863515
Growth 5yr Low Est,-0.7013974274094391
Growth 5yr High Est,-0.8011654518769125
Growth 5yr Consensus Est,-0.7512814396431757
Growth 5yr Actual/Est,-0.1700897345067714
Growth 3yr Historic,-0.3976593415845752
Price/Earnings (TTM),17.7718
Price/Sales (TTM),2.50285
Price/Book (MRQ),6.6819
Price/Cash Flow (TTM),13.29269
5yr Low,21.7
5yr High,153.36
5yr Avg Return,0.34885
EPS Growth 5yr,0.44318019999999997
Revenue Growth 5yr,0.1710876
Dividend Growth 5yr,0.1288813
Short Int Current Month,3337727.0
Short Int Prev Month,2772013.0
Short Int Pct of Float,0.0512428
Days to Cover,2.26634
Float,55.31413
Shares Outstanding,82.85573
Institutions Holding Shares,514.0
FCF Growth 5yr,0.5786594834880464
"Price/Earnings (TTM, GAAP)",17.77
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3356
Operating Profit Margin (TTM),0.20690000000000003
Net Profit Margin (TTM),0.1439
Annual Dividend Yield,0.005
Dividend Change %,0.22219999999999998
"Dividend Growth Rate, 3 Years",0.11199999999999999
EPS Growth (MRQ),-0.1888
EPS Growth (TTM),1.0948
Revenue Growth (MRQ),-0.032799999999999996
Revenue Growth (TTM),0.38439999999999996
Return On Equity (TTM),0.4686
Return On Assets (TTM),0.1616
Return On Investment (TTM),0.19140000000000001
Revenue Per Employee (TTM),566449.0
Total Debt/Total Capital (MRQ),0.5189
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),1.98
Interest Coverage (MRQ),11.93
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-08-05 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
