,WMT
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,36.0
Growth 1yr Low Est,-0.0676100628930818
Growth 1yr High Est,-0.03686635944700467
Growth 1yr Consensus Est,-0.052238211170043236
Growth 2yr Low Est,-0.02537332824249361
Growth 2yr High Est,0.05812184419994271
Growth 2yr Consensus Est,0.01637425797872455
Growth 5yr Low Est,0.057424514678631355
Growth 5yr High Est,0.09701589018561241
Growth 5yr Consensus Est,0.07722020243212188
Growth 5yr Actual/Est,0.07851055881092847
Growth 3yr Historic,0.07259849572852045
