,WOR
% Below High,0.1112
% Held by Institutions,0.45899999999999996
52-Wk Range,['38.01 - 62.83']
Annual Dividend $,1.24
Annual Dividend %,0.0219
Ask,57.29
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,1.2
Bid,54.28
Bid Size,100.0
Closing Price,55.84
Day Change $,-0.83
Day Change %,-0.0146
Day High,56.51
Day Low,55.34
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",6.17
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.47000000000000003
Last (size),97.0
Last (time),7:00p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.19
Prev Close,56.67
Shares Outstanding,49.7M
Short Interest,0.053399999999999996
Today's Open,56.32
Volume,152656.0
Volume 10-day Avg,154998.0
Volume Past Day,(Average)
