,WRK
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.19603524229074898
Growth 1yr High Est,-0.15306122448979587
Growth 1yr Consensus Est,-0.17454823339027242
Growth 2yr Low Est,-0.16788063484400462
Growth 2yr High Est,-0.004241455618392009
Growth 2yr Consensus Est,-0.08606104523119831
Growth 5yr Low Est,0.08257631173528701
Growth 5yr High Est,0.16490825769805043
Growth 5yr Consensus Est,0.12374228471666872
Growth 5yr Actual/Est,0.11767814744609245
Growth 3yr Historic,0.15809766576888545
