,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,101.16,125.09,152.12,305.0,475.35,468.05,,,,,
low,96.76,82.74,93.08,124.53,253.86,206.19,,,,,
change,0.0197,-0.0098,0.5536,0.8856,0.6548,-0.5193,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,763.0,668.0,719.0,729.0,Balance Sheet
"Total Receivables, Net",,,,,,,489.0,499.0,528.0,485.0,Balance Sheet
Invent. - Finished Goods,,,,,,,161.0,179.0,165.0,179.0,Balance Sheet
Invent. - Work In Progress,,,,,,,64.0,70.0,69.0,79.0,Balance Sheet
Invent. - Raw Materials,,,,,,,154.0,167.0,177.0,155.0,Balance Sheet
Total Inventory,,,,,,,378.0,417.0,412.0,413.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,112.0,108.0,113.0,106.0,Balance Sheet
Total Current Assets,,,,,,,1742.0,1691.0,1771.0,1734.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,2215.0,2237.0,2246.0,2233.0,Balance Sheet
Accumulated Depreciation,,,,,,,-1158.0,-1171.0,-1169.0,-1164.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,1127.0,1142.0,1154.0,1156.0,Balance Sheet
"Goodwill, Net",,,,,,,110.0,109.0,107.0,104.0,Balance Sheet
Intangibles - Net,,,,,,,23.0,22.0,20.0,18.0,Balance Sheet
Long Term Investments,,,,,,,208.0,208.0,193.0,189.0,Balance Sheet
Pension Bene. - Overfunded,,,,,,,17.0,17.0,18.0,1.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,49.0,66.0,49.0,63.0,Balance Sheet
Other Long Term Assets,,,,,,,39.0,41.0,49.0,53.0,Balance Sheet
Total Assets,,,,,,,3314.0,3295.0,3362.0,3317.0,Balance Sheet
Accounts Payable,,,,,,,232.0,248.0,220.0,189.0,Balance Sheet
Accrued Expenses,,,,,,,128.0,90.0,92.0,82.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,44.0,44.0,44.0,2.0,Balance Sheet
Customer Advances,,,,,,,49.0,1.0,1.0,1.0,Balance Sheet
Income Taxes Payable,,,,,,,26.0,35.0,33.0,30.0,Balance Sheet
Other Current Liabilities,,,,,,,115.0,167.0,176.0,153.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,190.0,203.0,209.0,183.0,Balance Sheet
Total Current Liabilities,,,,,,,594.0,585.0,565.0,457.0,Balance Sheet
Total Long Term Debt,,,,,,,209.0,208.0,208.0,207.0,Balance Sheet
Total Debt,,,,,,,253.0,253.0,252.0,209.0,Balance Sheet
Deferred Income Tax,,,,,,,5.0,3.0,1.0,17.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,41.0,39.0,37.0,35.0,Balance Sheet
Other LT Liabilities,,,,,,,130.0,133.0,126.0,130.0,Balance Sheet
"Other Liabilities, Total",,,,,,,171.0,172.0,163.0,166.0,Balance Sheet
Total Liabilities,,,,,,,978.0,969.0,937.0,846.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,,0.0,0.0,,Balance Sheet
Common Stock,,,,,,,19.0,19.0,19.0,19.0,Balance Sheet
Additional Paid-In Capital,,,,,,,249.0,220.0,225.0,231.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,2457.0,2617.0,2793.0,2913.0,Balance Sheet
Treasury Stock - Common,,,,,,,-230.0,-347.0,-366.0,-383.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,2.0,2.0,1.0,1.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-128.0,-150.0,-215.0,-291.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-32.0,-31.0,-29.0,-15.0,Balance Sheet
Other Comprehensive Income,,,,,,,-1.0,-3.0,-4.0,-4.0,Balance Sheet
"Other Equity, Total",,,,,,,-161.0,-184.0,-247.0,-310.0,Balance Sheet
Total Equity,,,,,,,2335.0,2326.0,2424.0,2471.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,3314.0,3295.0,3362.0,3317.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,74.0,74.0,74.0,74.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,731.0,720.0,771.0,687.0,Income Statement
"Cost of Revenue, Total",,,,,,,428.0,435.0,450.0,419.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,97.0,83.0,82.0,66.0,Income Statement
Research & Development,,,,,,,14.0,15.0,14.0,14.0,Income Statement
"Inter/Invest Inc, Operating",,,,,,,1.0,-1.0,-1.0,-2.0,Income Statement
Restructuring Charge,,,,,,,0.0,0.0,-2.0,0.0,Income Statement
Impair-Assets Held for Use,,,,,,,4.0,,,,Income Statement
Other Unusual Expnse (In),,,,,,,1.0,1.0,1.0,50.0,Income Statement
Unusual Expense (Income),,,,,,,4.0,1.0,-1.0,50.0,Income Statement
"Other Operat Expse, Total",,,,,,,3.0,-2.0,0.0,4.0,Income Statement
Total Operating Expense,,,,,,,548.0,531.0,544.0,550.0,Income Statement
Total Operating Income,,,,,,,183.0,189.0,228.0,137.0,Income Statement
"Inter Expse, Non-Operating",,,,,,,-3.0,-3.0,-3.0,-3.0,Income Statement
"Inter Capital, Non-Operat",,,,,,,0.0,1.0,1.0,1.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-3.0,-2.0,-2.0,-2.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,0.0,0.0,0.0,2.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,1.0,1.0,1.0,0.0,Income Statement
"Other, Net",,,,,,,1.0,1.0,1.0,0.0,Income Statement
Income Before Tax,,,,,,,182.0,188.0,227.0,136.0,Income Statement
Income Tax - Total,,,,,,,34.0,21.0,44.0,17.0,Income Statement
Income After Tax,,,,,,,148.0,167.0,183.0,119.0,Income Statement
Equity In Affiliates,,,,,,,0.0,7.0,6.0,5.0,Income Statement
Net Inc Before Extra Items,,,,,,,148.0,174.0,189.0,124.0,Income Statement
Total Extraordinary Items,,,,,,,0.0,,,-3.0,Income Statement
Total Net Income,,,,,,,148.0,174.0,189.0,121.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,148.0,174.0,189.0,124.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,148.0,174.0,189.0,121.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,76.0,74.0,74.0,74.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.95,2.34,2.53,1.66,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.95,2.34,2.53,1.62,Income Statement
Diluted Weighted Average Shares,,,,,,,78.0,76.0,76.0,76.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,1.9,2.29,2.49,1.64,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,1.9,2.29,2.49,1.59,Income Statement
