,WTRG
% Below High,0.1161
% Held by Institutions,0.767
52-Wk Range,['38.50 - 53.93']
Annual Dividend $,1.15
Annual Dividend %,0.0236
Ask,48.77
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,46.5
Bid Size,100.0
Closing Price,47.67
Day Change $,-1.0
Day Change %,-0.020499999999999997
Day High,48.21
Day Low,47.5
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.73
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.259
Last (size),21.0
Last (time),7:00p ET 11/28/22
Market Cap,12.5B
"P/E Ratio (TTM, GAAP)",28.07
Prev Close,48.67
Shares Outstanding,262.3M
Short Interest,0.0134
Today's Open,48.13
Volume,733308.0
Volume 10-day Avg,898623.0
Volume Past Day,(Below Average)
