,WW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-674.43,Valuation,
Price/Sales (TTM),0.27,3.81,Valuation,0.07086614173228346
Price/Book (MRQ),,2.94,Valuation,
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.6079,0.30350000000000005,Profitability,2.002965403624382
Operating Profit Margin (TTM),-0.1641,0.047,Profitability,-3.4914893617021274
Net Profit Margin (TTM),-0.1729,0.024900000000000002,Profitability,-6.943775100401606
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-43.515699999999995,-8.9082,Gowth rates,4.8849037965020985
EPS Growth (TTM),-4.869800000000001,1.3234000000000001,Gowth rates,-3.6797642436149314
Revenue Growth (MRQ),-0.0732,0.0315,Gowth rates,-2.323809523809524
Revenue Growth (TTM),-0.1328,0.1202,Gowth rates,-1.1048252911813643
Return On Equity (TTM),,0.0073,Effectiveness,
Return On Assets (TTM),-0.1476,-0.0022,Effectiveness,67.0909090909091
Return On Investment (TTM),-0.1788,0.005699999999999999,Effectiveness,-31.36842105263158
Revenue Per Employee (TTM),141912.0,227358.0,Effectiveness,0.6241786081862085
Total Debt/Total Capital (MRQ),1.8657,0.5721,Financial strength,3.2611431567907703
Change in Debt/Total Capital Quarter over Quarter,0.003,0.001,Financial strength,3.0
Quick Ratio (MRQ),1.32,0.56,Financial strength,2.357142857142857
Interest Coverage (MRQ),2.95,2.57,Financial strength,1.1478599221789885
