,XOM
% Below High,0.042300000000000004
% Held by Institutions,0.5789
52-Wk Range,['57.96 - 114.66']
Annual Dividend $,3.64
Annual Dividend %,0.0322
Ask,109.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,109.71
Bid Size,100.0
Closing Price,109.81
Day Change $,-3.4
Day Change %,-0.03
Day High,111.46
Day Low,109.62
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",12.26
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.349
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,452.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.23
Prev Close,113.21
Shares Outstanding,4.1B
Short Interest,0.01
Today's Open,110.66
Volume,23017671.0
Volume 10-day Avg,16598643.0
Volume Past Day,(Heavy Day)
