,YMAB
% Above Low,0.4218
% Held by Institutions,0.6382
52-Wk Range,['2.94 - 20.48']
Annual Dividend $,
Annual Dividend %,
Ask,4.2
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.8
Bid,3.5
Bid Size,500.0
Closing Price,4.18
Day Change $,-0.01
Day Change %,-0.0024
Day High,4.32
Day Low,4.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.06
Ex-dividend Date,No dividend
Historical Volatility,1.351
Last (size),1000.0
Last (time),3:59p ET 11/28/22
Market Cap,183.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.19
Shares Outstanding,43.7M
Short Interest,0.0387
Today's Open,4.16
Volume,539414.0
Volume 10-day Avg,596834.0
Volume Past Day,(Average)
