,YOU
% Below High,0.1223
% Held by Institutions,0.9947
52-Wk Range,['18.79 - 35.08']
Annual Dividend $,
Annual Dividend %,
Ask,34.84
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,30.8
Bid Size,100.0
Closing Price,30.79
Day Change $,-1.39
Day Change %,-0.0432
Day High,32.11
Day Low,30.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.47
Ex-dividend Date,No dividend
Historical Volatility,0.78
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,32.18
Shares Outstanding,86.6M
Short Interest,0.1888
Today's Open,31.56
Volume,746973.0
Volume 10-day Avg,1559974.0
Volume Past Day,(Light)
