,ZM
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.2161016949152541
Growth 1yr High Est,-0.21564885496183206
Growth 1yr Consensus Est,-0.21587527493854308
Growth 2yr Low Est,-0.2175103069170865
Growth 2yr High Est,-0.045780631860478094
Growth 2yr Consensus Est,-0.1316454693887823
Growth 5yr Low Est,-0.2175103069170865
Growth 5yr High Est,-0.045780631860478094
Growth 5yr Consensus Est,-0.1316454693887823
Growth 5yr Actual/Est,2.1872772607464097
Growth 3yr Historic,2.2652053036783575
