,ZWS
% Above Low,0.1131
% Held by Institutions,0.7604000000000001
52-Wk Range,['21.39 - 37.77']
Annual Dividend $,0.28
Annual Dividend %,0.0113
Ask,37.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.3
Bid,23.02
Bid Size,500.0
Closing Price,23.81
Day Change $,-1.06
Day Change %,-0.0426
Day High,25.05
Day Low,23.68
Dividend Pay Date,2022-12-07 00:00:00
"EPS (TTM, GAAP)",0.43
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.423
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",58.18
Prev Close,24.87
Shares Outstanding,177.8M
Short Interest,0.023799999999999998
Today's Open,24.79
Volume,904832.0
Volume 10-day Avg,1048247.0
Volume Past Day,(Below Average)
