,ZYXI
% Below High,0.07150000000000001
% Held by Institutions,0.285
52-Wk Range,['4.97 - 14.55']
Annual Dividend $,
Annual Dividend %,
Ask,13.51
Ask Size,400.0
B/A Ratio,5.5
B/A Size,2200x400
Beta,0.8
Bid,13.49
Bid Size,2200.0
Closing Price,13.51
Day Change $,-0.02
Day Change %,-0.0015
Day High,13.76
Day Low,13.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,1.2550000000000001
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,520.1M
"P/E Ratio (TTM, GAAP)",28.87
Prev Close,13.53
Shares Outstanding,38.5M
Short Interest,0.1613
Today's Open,13.53
Volume,122690.0
Volume 10-day Avg,177167.0
Volume Past Day,(Light)
